team,team#,night start,day start,getaway start,timezone,NYY,BAL,BOS,CLE,WAS,DET,BKN,PIT,MIL,CIN,PHI,CHI,STL,COL,DAL,LA,KC,SF
NYY,,1905,1305,1305,0,0,170,190,400,200,480,5,315,730,560,80,710,870,1625,1370,2445,1090,2565
BAL,,1905,1305,1305,0,170,0,360,305,35,400,170,195,640,425,90,600,730,1500,1210,2315,960,2450
BOS,,1905,1305,1305,0,190,360,0,550,395,610,190,481,855,738,270,848,1035,1776,1549,2590,1247,2692
CLE,,1905,1305,1305,0,400,305,550,0,305,90,400,115,335,222,358,307,491,1223,1025,2045,698,2162
WAS,,1905,1305,1305,0,200,35,395,305,0,395,200,191,635,402,123,595,709,1489,1182,2295,941,2435
DET,,1910,1310,1340,0,480,400,610,90,395,0,480,205,251,235,441,237,454,1153,999,1979,643,2086
BKN,,1905,1305,1305,0,5,170,190,400,200,480,0,315,730,560,80,710,870,1625,1370,2445,1090,2565
PIT,,1905,1305,1305,0,315,195,481,115,191,205,315,0,445,257,257,409,557,1317,1069,2132,779,2260
MIL,,1910,1310,1310,1,730,640,855,335,635,251,730,445,0,324,692,81,327,912,857,1741,441,1838
CIN,,1905,1235,1205,0,560,425,738,222,402,235,560,257,324,0,501,252,307,1091,813,1892,539,2038
PHI,,1905,1305,1305,0,80,90,270,358,123,441,80,257,692,501,0,663,808,1574,1297,2388,1034,2516
CHI,,1320,1320,1320,1,710,600,848,307,595,237,710,409,81,252,663,0,262,917,804,1742,412,1854
STL,,1910,1310,1310,1,870,730,1035,491,709,454,870,557,327,307,808,262,0,794,547,1585,237,1742
COL,,1907,1301,1212,2,1625,1500,1776,1223,1489,1153,1625,1317,912,1091,1574,917,794,0,662,830,556,947
DAL,,1905,1305,1305,1,1370,1210,1549,1025,1182,999,1370,1069,857,813,1297,804,547,662,0,1237,454,1480
LA,,1905,1305,1235,3,2445,2315,2590,2045,2295,1979,2445,2132,1741,1892,2388,1742,1585,830,1237,0,1354,347
KC,,1905,1305,1305,1,1090,960,1247,698,941,643,1090,779,441,539,1034,412,237,556,454,1354,0,1503
SF,,1905,1305,1205,3,2565,2450,2692,2162,2435,2086,2565,2260,1838,2038,2516,1854,1741,947,1480,347,1503,0
